"filename", "language", "YAML", "C++", "Markdown", "JSON", "Swift", "HTML", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\api_consumer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\api_interceptors.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 5, 27
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\dio_consumer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 1, 10, 131
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\api\end_points.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\cache\cache_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 6, 15, 68
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\errors\error_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\errors\exceptions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\get_font_size.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\scale_factor.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\size_config.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\services\location_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_assets.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 99, 51, 202
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
